Date Time, Monitor ID, Location ID, NO2(ppm)
25 Mar 2023 09:47,2,7,0.000
25 Mar 2023 09:48,2,7,0.000
25 Mar 2023 09:49,2,7,0.000
25 Mar 2023 09:50,2,7,0.000
25 Mar 2023 09:51,2,7,0.000
25 Mar 2023 09:52,2,7,0.000
25 Mar 2023 09:53,2,7,0.000
25 Mar 2023 09:54,2,7,0.000
25 Mar 2023 09:55,2,7,0.000
25 Mar 2023 09:56,2,7,0.000
25 Mar 2023 09:57,2,7,0.000
25 Mar 2023 09:58,2,7,0.000
25 Mar 2023 09:59,2,7,0.000
25 Mar 2023 10:00,2,7,0.000
25 Mar 2023 10:01,2,7,0.000
25 Mar 2023 10:02,2,7,0.000
25 Mar 2023 10:03,2,7,0.000
25 Mar 2023 10:04,2,7,0.000
25 Mar 2023 10:05,2,8,0.000
25 Mar 2023 10:06,2,8,0.000
25 Mar 2023 10:07,2,8,0.000
25 Mar 2023 10:08,2,8,0.000
25 Mar 2023 10:09,2,8,0.000
25 Mar 2023 10:10,2,8,0.005
25 Mar 2023 10:11,2,8,0.000
25 Mar 2023 10:12,2,8,0.000
25 Mar 2023 10:13,2,8,0.000
25 Mar 2023 10:14,2,8,0.005
25 Mar 2023 10:15,2,8,0.000
25 Mar 2023 10:16,2,8,0.000
25 Mar 2023 10:17,2,8,0.006
25 Mar 2023 10:18,2,8,0.000
25 Mar 2023 10:19,2,8,0.000
25 Mar 2023 10:20,2,8,0.001
25 Mar 2023 10:21,2,8,0.000
25 Mar 2023 10:22,2,8,0.000
25 Mar 2023 10:23,2,9,0.000
25 Mar 2023 10:24,2,9,0.000
25 Mar 2023 10:25,2,9,0.000
25 Mar 2023 10:26,2,9,0.001
25 Mar 2023 10:27,2,9,0.000
25 Mar 2023 10:28,2,9,0.001
25 Mar 2023 10:29,2,9,0.005
25 Mar 2023 10:30,2,9,0.000
25 Mar 2023 10:31,2,9,0.000
25 Mar 2023 10:32,2,9,0.000
25 Mar 2023 10:33,2,9,0.000
25 Mar 2023 10:34,2,9,0.000
25 Mar 2023 10:35,2,9,0.003
25 Mar 2023 10:36,2,9,0.003
25 Mar 2023 10:37,2,9,0.000
25 Mar 2023 10:38,2,9,0.000
25 Mar 2023 10:39,2,9,0.000
25 Mar 2023 10:40,2,9,0.000
25 Mar 2023 10:41,2,10,0.000
25 Mar 2023 10:42,2,10,0.000
25 Mar 2023 10:43,2,10,0.001
25 Mar 2023 10:44,2,10,0.000
25 Mar 2023 10:45,2,10,0.000
25 Mar 2023 10:46,2,10,0.000
25 Mar 2023 10:47,2,10,0.000
25 Mar 2023 10:48,2,10,0.000
25 Mar 2023 10:49,2,10,0.000
25 Mar 2023 10:50,2,10,0.000
25 Mar 2023 10:51,2,10,0.000
25 Mar 2023 10:52,2,10,0.000
25 Mar 2023 10:53,2,10,0.001
25 Mar 2023 10:54,2,10,0.006
25 Mar 2023 10:55,2,10,0.003
25 Mar 2023 10:56,2,10,0.000
25 Mar 2023 10:57,2,10,0.000
25 Mar 2023 10:58,2,10,0.000
25 Mar 2023 10:59,2,10,0.000
25 Mar 2023 11:00,2,10,0.003
25 Mar 2023 11:01,2,11,0.000
25 Mar 2023 11:02,2,11,0.000
25 Mar 2023 11:03,2,11,0.000
25 Mar 2023 11:04,2,11,0.000
25 Mar 2023 11:05,2,11,0.000
25 Mar 2023 11:06,2,11,0.000
25 Mar 2023 11:07,2,11,0.000
25 Mar 2023 11:08,2,11,0.000
25 Mar 2023 11:09,2,11,0.000
25 Mar 2023 11:10,2,11,0.001
25 Mar 2023 11:11,2,11,0.000
25 Mar 2023 11:12,2,11,0.000
25 Mar 2023 11:13,2,11,0.000
25 Mar 2023 11:14,2,11,0.000
25 Mar 2023 11:15,2,11,0.000
25 Mar 2023 11:16,2,11,0.000
25 Mar 2023 11:17,2,11,0.000
25 Mar 2023 11:18,2,11,0.000
25 Mar 2023 11:19,2,11,0.002
25 Mar 2023 11:20,2,12,0.000
25 Mar 2023 11:21,2,12,0.003
25 Mar 2023 11:22,2,12,0.000
25 Mar 2023 11:23,2,12,0.000
25 Mar 2023 11:24,2,12,0.000
25 Mar 2023 11:25,2,12,0.000
25 Mar 2023 11:26,2,12,0.000
25 Mar 2023 11:27,2,12,0.005
25 Mar 2023 11:28,2,12,0.000
25 Mar 2023 11:29,2,12,0.000
25 Mar 2023 11:30,2,12,0.000
25 Mar 2023 11:31,2,12,0.005
25 Mar 2023 11:32,2,12,0.001
25 Mar 2023 11:33,2,12,0.000
25 Mar 2023 11:34,2,12,0.002
25 Mar 2023 11:35,2,12,0.000
25 Mar 2023 11:36,2,12,0.000
25 Mar 2023 11:37,2,12,0.000
25 Mar 2023 11:38,2,13,0.000
25 Mar 2023 11:39,2,13,0.000
25 Mar 2023 11:40,2,13,0.000
25 Mar 2023 11:41,2,13,0.005
25 Mar 2023 11:42,2,13,0.000
25 Mar 2023 11:43,2,13,0.001
25 Mar 2023 11:44,2,13,0.000
25 Mar 2023 11:45,2,13,0.000
25 Mar 2023 11:46,2,13,0.000
25 Mar 2023 11:47,2,13,0.001
25 Mar 2023 11:48,2,13,0.000
25 Mar 2023 11:49,2,13,0.000
25 Mar 2023 11:50,2,13,0.000
25 Mar 2023 11:51,2,13,0.000
25 Mar 2023 11:52,2,13,0.000
25 Mar 2023 11:53,2,13,0.003
25 Mar 2023 11:54,2,13,0.000
25 Mar 2023 11:55,2,13,0.000
25 Mar 2023 11:56,2,13,0.000
25 Mar 2023 11:57,2,13,0.000
25 Mar 2023 11:58,2,13,0.000
26 Mar 2023 14:59,2,14,0.000
26 Mar 2023 15:00,2,14,0.000
26 Mar 2023 15:01,2,14,0.000
26 Mar 2023 15:02,2,14,0.000
26 Mar 2023 15:03,2,14,0.000
26 Mar 2023 15:04,2,14,0.000
26 Mar 2023 15:05,2,14,0.000
26 Mar 2023 15:06,2,14,0.000
26 Mar 2023 15:07,2,14,0.000
26 Mar 2023 15:08,2,14,0.000
26 Mar 2023 15:09,2,14,0.000
26 Mar 2023 15:10,2,14,0.000
26 Mar 2023 15:11,2,14,0.000
26 Mar 2023 15:12,2,14,0.000
26 Mar 2023 15:13,2,14,0.000
26 Mar 2023 15:14,2,14,0.000
26 Mar 2023 15:15,2,14,0.000
26 Mar 2023 15:16,2,14,0.000
26 Mar 2023 15:17,2,14,0.002
26 Mar 2023 15:18,2,14,0.000
26 Mar 2023 15:19,2,14,0.000
26 Mar 2023 15:20,2,15,0.000
26 Mar 2023 15:21,2,15,0.000
26 Mar 2023 15:22,2,15,0.004
26 Mar 2023 15:23,2,15,0.003
26 Mar 2023 15:24,2,15,0.000
26 Mar 2023 15:25,2,15,0.000
26 Mar 2023 15:26,2,15,0.003
