Date,Time,PM1.0 ug/m3 (ultrafine particles),"PM2.5 ug/m3 (combustion particles, organic compounds, metals)","PM10 ug/m3  (dust, pollen, mould spores)",PM1.0 ug/m3 (atmos env),PM2.5 ug/m3 (atmos env),PM10 ug/m3 (atmos env),>0.3um in 0.1L air,>0.5um in 0.1L air,>1.0um in 0.1L air,>2.5um in 0.1L air,>5.0um in 0.1L air,>10um in 0.1L air,CO2 in ppm,Temperature in C,Relative Humidity
2024-08-20,10:40:00,1,3,6,1,3,6,372,110,26,8,4,4,639.56,23.75,63.32
2024-08-20,10:41:00,1,3,6,1,3,6,405,114,28,8,4,4,621.69,23.88,62.32
2024-08-20,10:42:00,1,3,6,1,3,6,417,116,28,8,4,4,606.55,24.16,62.01
2024-08-20,10:43:00,1,3,6,1,3,6,411,114,32,8,4,4,628.20,24.19,61.09
2024-08-20,10:44:00,1,3,6,1,3,6,369,100,32,8,4,4,538.84,23.88,60.99
2024-08-20,10:45:00,1,3,4,1,3,4,378,103,28,6,2,2,534.92,24.06,61.16
2024-08-20,10:46:00,1,3,4,1,3,4,378,103,28,6,2,2,532.97,23.93,60.56
2024-08-20,10:47:00,1,3,4,1,3,4,378,103,28,6,2,2,520.86,24.00,60.56
2024-08-20,10:48:00,1,2,2,1,2,2,357,96,24,4,0,0,505.31,24.00,60.19
2024-08-20,10:49:00,1,2,2,1,2,2,357,96,24,4,0,0,479.30,24.10,60.13
2024-08-20,10:50:00,1,2,2,1,2,2,357,96,24,4,0,0,482.58,24.13,60.31
2024-08-20,10:51:00,2,4,4,2,4,4,432,128,30,4,0,0,478.33,24.10,60.24
2024-08-20,10:52:00,2,4,4,2,4,4,432,128,30,4,0,0,475.24,24.30,59.70
2024-08-20,10:53:00,2,4,4,2,4,4,432,128,30,4,0,0,457.99,24.21,59.67
2024-08-20,10:54:00,2,3,3,2,3,3,396,119,28,4,0,0,443.14,24.25,59.03
2024-08-20,10:55:01,2,3,3,2,3,3,396,119,28,4,0,0,429.98,24.31,59.50
2024-08-20,10:56:01,2,3,3,2,3,3,396,119,28,4,0,0,430.19,24.30,58.78
2024-08-20,10:57:01,2,3,3,2,3,3,396,121,28,2,0,0,425.03,24.37,58.96
2024-08-20,10:58:01,2,3,3,2,3,3,396,121,28,2,0,0,410.70,24.11,59.13
2024-08-20,10:59:01,2,3,3,2,3,3,396,121,28,2,0,0,405.68,24.02,59.30
2024-08-20,11:00:01,2,3,4,2,3,4,402,123,26,2,2,2,406.03,24.03,59.09
2024-08-20,11:01:01,2,3,4,2,3,4,402,123,26,2,2,2,402.35,24.25,59.45
2024-08-20,11:02:01,2,3,4,2,3,4,402,123,26,2,2,2,442.29,24.36,58.76
2024-08-20,11:03:01,1,2,4,1,2,4,360,114,24,2,2,2,432.80,24.33,58.82
2024-08-20,11:04:01,1,2,4,1,2,4,360,114,24,2,2,2,580.38,24.51,59.27
2024-08-20,11:05:01,1,2,4,1,2,4,360,114,24,2,2,2,493.46,24.61,58.50
2024-08-20,11:06:01,2,3,4,2,3,4,369,119,24,2,2,2,458.08,24.54,58.14
2024-08-20,11:07:01,2,3,4,2,3,4,369,119,24,2,2,2,432.77,24.54,57.07
2024-08-20,11:08:01,2,3,4,2,3,4,369,119,24,2,2,2,434.38,24.72,57.76
2024-08-20,11:09:01,2,2,4,2,2,4,348,112,20,2,2,2,428.72,24.61,57.41
2024-08-20,11:10:01,2,2,4,2,2,4,348,112,20,2,2,2,416.43,24.65,56.95
2024-08-20,11:11:01,2,2,4,2,2,4,348,112,20,2,2,2,484.05,24.68,58.06
2024-08-20,11:12:01,2,3,4,2,3,4,357,115,22,2,2,2,457.69,24.72,58.25
2024-08-20,11:13:01,2,3,4,2,3,4,357,115,22,2,2,2,437.21,24.68,57.65
2024-08-20,11:14:01,2,3,4,2,3,4,357,115,22,2,2,2,429.77,24.78,57.58
2024-08-20,11:15:01,2,2,4,2,2,4,357,115,20,2,2,2,406.90,24.50,57.59
2024-08-20,11:16:01,2,2,4,2,2,4,357,115,20,2,2,2,393.85,24.52,57.64
2024-08-20,11:17:01,2,2,4,2,2,4,357,115,20,2,2,2,393.62,24.64,57.68
2024-08-20,11:18:01,2,2,4,2,2,4,357,117,20,2,2,2,393.45,24.52,57.64
2024-08-20,11:19:01,2,2,4,2,2,4,357,117,20,2,2,2,395.02,24.65,57.68
2024-08-20,11:20:01,2,2,4,2,2,4,357,117,20,2,2,2,402.71,24.72,56.94
2024-08-20,11:21:01,0,1,2,0,1,2,210,68,16,2,2,2,397.99,24.68,56.39
2024-08-20,11:22:01,0,1,2,0,1,2,210,68,16,2,2,2,389.00,24.67,57.43
2024-08-20,11:23:01,0,1,2,0,1,2,210,68,16,2,2,2,410.32,24.54,56.69
2024-08-20,11:24:01,1,1,3,1,1,3,237,75,18,2,2,2,391.06,24.57,57.16
2024-08-20,11:25:01,1,1,3,1,1,3,237,75,18,2,2,2,389.04,24.75,56.31
2024-08-20,11:26:01,1,1,3,1,1,3,237,75,18,2,2,2,384.69,24.65,56.43
2024-08-20,11:27:01,1,1,3,1,1,3,267,85,18,2,2,2,379.84,24.57,57.21
2024-08-20,11:28:01,0,0,2,0,0,2,267,85,18,2,2,2,383.74,24.92,56.22
2024-08-20,11:29:01,0,0,2,0,0,2,267,85,18,2,2,2,381.14,24.81,55.65
2024-08-20,11:30:01,0,1,1,0,1,1,282,88,23,0,0,0,374.60,24.77,56.22
2024-08-20,11:31:01,0,1,1,0,1,1,282,88,23,0,0,0,380.28,24.83,55.16
2024-08-20,11:32:01,1,2,2,1,2,2,282,88,23,0,0,0,376.63,24.60,55.99
2024-08-20,11:33:01,1,2,2,1,2,2,291,93,23,0,0,0,378.24,24.90,56.13
2024-08-20,11:34:01,1,2,2,1,2,2,291,93,23,0,0,0,379.20,25.01,55.72
2024-08-20,11:35:01,1,2,2,1,2,2,291,93,23,0,0,0,372.37,25.03,55.67
2024-08-20,11:36:01,1,2,3,1,2,3,312,100,23,2,0,0,372.14,25.01,55.70
2024-08-20,11:37:01,1,2,3,1,2,3,312,100,23,2,0,0,378.38,25.08,55.42
2024-08-20,11:38:01,1,2,3,1,2,3,312,100,23,2,0,0,365.83,25.06,55.45
2024-08-20,11:39:01,1,2,3,1,2,3,333,107,25,2,0,0,377.59,24.90,54.86
2024-08-20,11:40:01,1,2,3,1,2,3,333,107,25,2,0,0,362.04,24.47,54.98
2024-08-20,11:41:01,1,2,3,1,2,3,333,107,25,2,0,0,360.84,24.75,55.40
2024-08-20,11:42:01,1,2,3,1,2,3,324,102,23,2,0,0,360.86,24.65,54.74
2024-08-20,11:43:01,1,2,3,1,2,3,324,102,23,2,0,0,359.95,24.61,55.46
2024-08-20,11:44:01,1,2,3,1,2,3,324,102,23,2,0,0,361.75,24.61,54.70
2024-08-20,11:45:01,1,2,3,1,2,3,315,99,25,2,0,0,361.68,24.54,55.00
2024-08-20,11:46:01,1,2,3,1,2,3,315,99,25,2,0,0,356.02,24.25,55.19
2024-08-20,11:47:01,1,2,3,1,2,3,315,99,25,2,0,0,352.82,24.52,54.96
2024-08-20,11:48:01,1,2,3,1,2,3,324,99,27,2,0,0,362.12,24.52,54.80
2024-08-20,11:49:01,1,2,3,1,2,3,324,99,27,2,0,0,358.72,24.62,54.56
2024-08-20,11:50:01,1,2,3,1,2,3,324,99,27,2,0,0,350.23,24.68,54.53
2024-08-20,11:51:02,1,2,3,1,2,3,318,97,27,2,0,0,352.52,25.01,54.30
2024-08-20,11:52:02,1,2,3,1,2,3,318,97,27,2,0,0,349.14,24.99,54.10
2024-08-20,11:53:02,1,2,3,1,2,3,318,97,27,2,0,0,346.50,24.68,54.02
2024-08-20,11:54:02,1,2,3,1,2,3,327,99,25,2,0,0,344.61,24.81,54.54
2024-08-20,11:55:02,1,2,3,1,2,3,327,99,25,2,0,0,348.81,24.83,54.15
2024-08-20,11:56:02,1,2,3,1,2,3,327,99,25,2,0,0,348.63,24.98,54.48
2024-08-20,11:57:02,1,2,4,1,2,4,318,96,29,4,0,0,346.83,24.94,54.13
2024-08-20,11:58:02,1,2,4,1,2,4,318,96,29,4,0,0,330.42,24.92,54.17
2024-08-20,11:59:02,1,2,4,1,2,4,318,96,29,4,0,0,346.46,25.02,53.74
2024-08-20,12:00:02,1,2,3,1,2,3,282,86,22,4,0,0,346.29,25.05,53.58
2024-08-20,12:01:02,1,2,3,1,2,3,282,86,22,4,0,0,343.10,24.81,53.67
2024-08-20,12:02:02,1,2,3,1,2,3,282,86,22,4,0,0,335.27,24.77,53.65
2024-08-20,12:03:02,1,2,3,1,2,3,294,88,22,4,0,0,340.11,24.71,53.57
2024-08-20,12:04:02,1,2,3,1,2,3,294,88,22,4,0,0,348.24,24.64,53.31
2024-08-20,12:05:02,1,2,3,1,2,3,294,88,22,4,0,0,345.19,24.79,52.95
2024-08-20,12:06:02,1,1,2,1,1,2,252,74,20,2,0,0,352.19,24.52,53.34
2024-08-20,12:07:02,1,1,2,1,1,2,252,74,20,2,0,0,350.13,24.81,53.33
2024-08-20,12:08:02,1,1,2,1,1,2,252,74,20,2,0,0,357.34,24.88,53.12
2024-08-20,12:09:02,1,1,2,1,1,2,252,74,24,2,0,0,355.93,24.77,52.77
2024-08-20,12:10:02,1,1,2,1,1,2,252,74,24,2,0,0,343.25,24.69,52.93
2024-08-20,12:11:02,1,1,2,1,1,2,252,74,24,2,0,0,345.43,24.62,53.31
2024-08-20,12:12:02,1,2,2,1,2,2,246,74,24,2,0,0,341.35,24.74,53.00
2024-08-20,12:13:02,1,2,2,1,2,2,246,74,24,2,0,0,340.13,24.72,53.06
2024-08-20,12:14:02,1,2,2,1,2,2,246,74,24,2,0,0,337.68,24.55,53.29
2024-08-20,12:15:02,1,1,2,1,1,2,234,70,22,2,0,0,330.16,24.74,53.20
2024-08-20,12:16:02,1,1,2,1,1,2,234,70,22,2,0,0,334.02,24.85,52.83
2024-08-20,12:17:02,1,1,2,1,1,2,234,70,22,2,0,0,339.31,24.77,52.65
2024-08-20,12:18:02,1,2,3,1,2,3,261,80,29,2,0,0,338.33,25.01,52.18
2024-08-20,12:19:02,1,2,3,1,2,3,261,80,29,2,0,0,337.52,25.02,52.49
2024-08-20,12:20:02,1,2,3,1,2,3,261,80,29,2,0,0,337.84,24.85,52.44
2024-08-20,12:21:02,1,2,3,1,2,3,297,87,29,2,0,0,337.12,24.83,52.10
2024-08-20,12:22:02,1,2,3,1,2,3,297,87,29,2,0,0,340.39,25.19,52.50
2024-08-20,12:23:02,1,2,3,1,2,3,297,87,29,2,0,0,345.53,24.71,52.11
2024-08-20,12:24:02,1,2,2,1,2,2,255,76,27,2,0,0,341.73,24.67,52.71
2024-08-20,12:25:02,1,2,2,1,2,2,255,76,27,2,0,0,332.80,24.86,52.36
2024-08-20,12:26:02,1,2,2,1,2,2,255,76,27,2,0,0,342.06,25.05,52.55
2024-08-20,12:27:02,1,1,1,1,1,1,222,65,21,0,0,0,360.26,25.16,52.21
2024-08-20,12:28:02,1,1,1,1,1,1,222,65,21,0,0,0,359.46,25.17,52.34
2024-08-20,12:29:02,1,1,1,1,1,1,222,65,21,0,0,0,352.53,25.27,52.15
2024-08-20,12:30:02,1,1,1,1,1,1,237,68,23,0,0,0,352.33,25.08,52.25
2024-08-20,12:31:02,1,1,1,1,1,1,237,68,23,0,0,0,381.43,24.88,52.49
2024-08-20,12:32:02,1,1,1,1,1,1,237,68,23,0,0,0,341.56,24.95,52.19
2024-08-20,12:33:02,1,1,1,1,1,1,225,66,21,0,0,0,375.71,25.27,52.42
2024-08-20,12:34:02,1,1,1,1,1,1,225,66,21,0,0,0,378.94,25.15,51.90
2024-08-20,12:35:02,1,1,1,1,1,1,225,66,21,0,0,0,377.00,25.08,52.00
2024-08-20,12:36:02,1,1,1,1,1,1,219,64,21,0,0,0,362.23,25.06,52.01
2024-08-20,12:37:02,0,0,0,0,0,0,219,64,21,0,0,0,362.22,25.08,52.81
2024-08-20,12:38:02,0,0,0,0,0,0,219,64,21,0,0,0,372.46,25.12,52.79
2024-08-20,12:39:02,0,0,0,0,0,0,240,68,15,0,0,0,385.08,24.96,52.69
2024-08-20,12:40:02,0,0,0,0,0,0,240,68,15,0,0,0,373.80,24.85,52.27
2024-08-20,12:41:02,0,0,0,0,0,0,240,68,15,0,0,0,363.82,24.90,52.38
2024-08-20,12:42:02,0,0,0,0,0,0,240,68,17,0,0,0,361.50,24.77,52.83
2024-08-20,12:43:02,0,0,0,0,0,0,240,68,17,0,0,0,362.23,24.83,52.50
2024-08-20,12:44:02,0,0,0,0,0,0,240,68,17,0,0,0,369.29,24.89,53.28
2024-08-20,12:45:02,0,0,0,0,0,0,267,77,19,0,0,0,380.02,24.75,53.22
2024-08-20,12:46:02,0,0,0,0,0,0,267,77,19,0,0,0,337.92,25.26,52.97
2024-08-20,12:47:00,4,5,5,4,5,5,651,213,39,0,0,0,422.37,25.46,51.55
2024-08-20,12:48:00,3,5,5,3,5,5,630,206,39,0,0,0,393.40,25.48,51.58
2024-08-20,12:49:00,3,5,5,3,5,5,636,208,37,0,0,0,372.04,25.36,51.06
2024-08-20,12:50:00,3,5,5,3,5,5,624,204,37,0,0,0,340.91,25.67,50.65
2024-08-20,12:51:00,3,6,7,3,6,7,681,225,41,2,2,2,332.86,25.67,50.52
2024-08-20,12:52:00,3,6,8,3,6,8,681,225,43,4,2,2,340.15,25.53,51.03
2024-08-20,12:53:00,3,6,8,3,6,8,681,225,43,4,2,2,333.57,25.77,51.03
2024-08-20,12:54:00,3,6,8,3,6,8,681,225,43,4,2,2,334.77,25.88,50.49
2024-08-20,12:55:00,3,5,7,3,5,7,633,209,36,4,2,2,348.98,25.95,50.66
2024-08-20,12:56:00,3,5,7,3,5,7,633,209,36,4,2,2,331.35,25.88,50.15
2024-08-20,12:57:00,3,5,7,3,5,7,633,209,36,4,2,2,354.03,25.83,50.49
2024-08-20,12:58:00,3,6,7,3,6,7,654,216,38,4,2,2,343.10,25.87,49.96
2024-08-20,12:59:00,3,6,7,3,6,7,654,216,38,4,2,2,373.86,25.73,50.38
2024-08-20,13:00:00,3,6,7,3,6,7,654,216,38,4,2,2,349.59,25.57,50.36
2024-08-20,13:01:00,3,5,7,3,5,7,624,204,38,4,2,2,352.55,25.41,51.42
2024-08-20,13:02:00,3,5,7,3,5,7,624,204,38,4,2,2,208.27,24.90,51.89
2024-08-20,13:03:00,3,5,7,3,5,7,624,204,38,4,2,2,312.16,24.51,54.89
