Date,Time,NO2 ppb,NO2 µg/m³
18:08:24,12:45:06,-2.7369027,-5.2343264
18:08:24,12:46:11,-2.8569563,-5.4639287
18:08:24,12:47:16,-2.8687603,-5.4865041
18:08:24,12:48:22,-3.0459902,-5.8254566
18:08:24,12:49:27,-3.1515009,-6.0272455
18:08:24,12:50:33,-3.2235575,-6.1650538
18:08:24,12:51:38,-3.105695,-5.939642
18:08:24,12:52:43,-3.3034177,-6.3177862
18:08:24,12:53:49,-3.5072882,-6.7076888
18:08:24,12:54:54,-3.5060701,-6.7053595
18:08:24,12:56:00,-3.5143211,-6.721139
18:08:24,12:57:05,-3.3858852,-6.4755058
18:08:24,12:58:10,-3.3898549,-6.4830976
18:08:24,12:59:16,-3.5479896,-6.7855301
18:08:24,13:00:21,-3.443881,-6.5864224
18:08:24,13:01:27,-3.3973522,-6.497436
18:08:24,13:02:32,-3.5763788,-6.8398247
18:08:24,13:03:38,-3.5800023,-6.8467546
18:08:24,13:04:43,-3.5371537,-6.7648067
18:08:24,13:05:48,-3.4532096,-6.6042633
18:08:24,13:06:54,-3.4244046,-6.5491738
18:08:24,13:07:59,-3.3589072,-6.4239101
18:08:24,13:09:05,-3.4046781,-6.511447
18:08:24,13:10:10,-3.3602786,-6.4265327
18:08:24,13:11:16,-3.4348636,-6.5691767
18:08:24,13:12:21,-3.6257908,-6.9343252
18:08:24,13:13:26,-3.6383047,-6.9582577
18:08:24,13:14:32,-3.7049239,-7.0856671
18:08:24,13:15:37,-3.6098197,-6.90378
18:08:24,13:16:43,-3.4805732,-6.6565962
18:08:24,13:17:48,-3.5854485,-6.8571706
18:08:24,13:18:53,-3.6293616,-6.941154
18:08:24,13:19:59,-3.5513766,-6.7920079
18:08:24,13:21:04,-3.4748027,-6.6455603
18:08:24,13:22:10,-3.4098005,-6.5212436
18:08:24,13:23:15,-3.4530606,-6.6039786
18:08:24,13:24:21,-3.3646648,-6.4349213
18:08:24,13:25:26,-3.2175107,-6.1534891
18:08:24,13:26:31,-3.2019207,-6.1236734
18:08:24,13:27:37,-3.2079937,-6.1352882
18:08:24,13:28:42,-3.2288022,-6.1750841
18:08:24,13:29:48,-3.2035813,-6.1268492
