Date,Time,PM1.0 ug/m3 (ultrafine particles),"PM2.5 ug/m3 (combustion particles, organic compounds, metals)","PM10 ug/m3  (dust, pollen, mould spores)",PM1.0 ug/m3 (atmos env),PM2.5 ug/m3 (atmos env),PM10 ug/m3 (atmos env),>0.3um in 0.1L air,>0.5um in 0.1L air,>1.0um in 0.1L air,>2.5um in 0.1L air,>5.0um in 0.1L air,>10um in 0.1L air,CO2 in ppm,Temperature in C,Relative Humidity
2024-08-18,12:43:00,4,6,9,4,6,9,777,232,56,4,4,2,624.73,24.34,51.88
2024-08-18,12:44:00,4,6,9,4,6,9,783,234,60,4,4,2,603.86,24.46,51.88
2024-08-18,12:45:00,4,6,10,4,6,10,753,224,60,6,6,4,578.74,24.48,50.99
2024-08-18,12:46:00,4,5,10,4,5,10,717,212,51,6,6,4,570.05,24.62,50.73
2024-08-18,12:47:00,4,5,10,4,5,10,711,212,51,6,6,4,559.88,24.83,51.07
2024-08-18,12:48:00,3,5,8,3,5,8,696,205,40,4,4,2,544.57,24.79,50.29
2024-08-18,12:49:00,3,5,8,3,5,8,696,205,40,4,4,2,522.52,24.77,49.18
2024-08-18,12:50:00,3,5,8,3,5,8,696,205,40,4,4,2,494.47,24.79,49.79
2024-08-18,12:51:00,3,5,8,3,5,8,702,202,40,4,4,2,497.85,24.94,50.47
2024-08-18,12:52:00,3,5,8,3,5,8,702,202,40,4,4,2,504.25,24.86,49.01
2024-08-18,12:53:00,3,5,8,3,5,8,702,202,40,4,4,2,468.70,24.85,49.90
2024-08-18,12:54:00,3,5,7,3,5,7,660,193,38,4,4,2,460.97,24.68,48.99
2024-08-18,12:55:00,3,5,7,3,5,7,660,193,38,4,4,2,455.61,24.81,48.80
2024-08-18,12:56:00,3,5,7,3,5,7,660,193,38,4,4,2,444.01,24.86,48.22
2024-08-18,12:57:00,3,5,7,3,5,7,765,214,41,2,2,2,445.03,25.01,49.10
2024-08-18,12:58:00,3,5,7,3,5,7,765,214,41,2,2,2,451.19,24.90,48.16
2024-08-18,12:59:00,3,5,7,3,5,7,765,214,41,2,2,2,428.86,24.75,48.17
2024-08-18,13:00:00,4,5,7,4,5,7,828,228,46,2,2,2,446.79,24.90,47.90
2024-08-18,13:01:00,4,5,7,4,5,7,828,228,46,2,2,2,448.22,24.99,47.89
2024-08-18,13:02:00,4,5,7,4,5,7,828,228,46,2,2,2,454.37,24.82,47.73
2024-08-18,13:03:00,4,5,7,4,5,7,822,223,44,4,2,2,438.70,24.77,47.01
2024-08-18,13:04:00,4,5,7,4,5,7,822,223,44,4,2,2,432.12,24.83,47.23
