Date,Time,PM1.0 ug/m3 (ultrafine particles),"PM2.5 ug/m3 (combustion particles, organic compounds, metals)","PM10 ug/m3  (dust, pollen, mould spores)",PM1.0 ug/m3 (atmos env),PM2.5 ug/m3 (atmos env),PM10 ug/m3 (atmos env),>0.3um in 0.1L air,>0.5um in 0.1L air,>1.0um in 0.1L air,>2.5um in 0.1L air,>5.0um in 0.1L air,>10um in 0.1L air,CO2 in ppm,Temperature in C,Relative Humidity
2024-08-22,10:43:00,5,7,9,5,7,9,963,271,47,4,2,2,601.58,23.68,61.64
2024-08-22,10:44:00,5,7,7,5,7,7,912,259,41,2,0,0,587.73,23.79,61.05
2024-08-22,10:45:00,4,7,7,4,7,7,843,240,50,4,0,0,554.86,23.75,60.69
2024-08-22,10:46:00,5,7,7,5,7,7,864,249,52,4,0,0,510.06,23.81,59.99
2024-08-22,10:47:00,5,7,7,5,7,7,870,254,52,4,0,0,570.15,23.96,63.08
2024-08-22,10:48:00,6,8,8,6,8,8,1065,314,55,2,0,0,629.07,24.07,63.08
2024-08-22,10:49:00,6,8,8,6,8,8,1065,314,55,2,0,0,604.49,24.13,61.52
2024-08-22,10:50:00,6,8,8,6,8,8,1065,314,55,2,0,0,591.48,24.17,62.07
2024-08-22,10:51:00,6,9,9,6,9,9,1080,318,62,2,0,0,541.66,24.19,60.95
2024-08-22,10:52:00,6,9,9,6,9,9,1080,318,62,2,0,0,503.26,24.00,61.80
2024-08-22,10:53:00,6,9,9,6,9,9,1080,318,62,2,0,0,510.72,24.04,61.32
2024-08-22,10:54:00,6,8,8,6,8,8,1053,311,62,2,0,0,514.46,24.04,60.87
2024-08-22,10:55:00,6,8,8,6,8,8,1053,311,62,2,0,0,484.52,23.83,60.41
2024-08-22,10:56:00,6,8,8,6,8,8,1053,311,62,2,0,0,453.32,23.88,60.57
2024-08-22,10:57:00,6,8,8,6,8,8,1023,304,59,2,0,0,466.53,23.92,61.05
2024-08-22,10:58:00,6,8,8,6,8,8,1023,304,59,2,0,0,468.79,23.92,61.09
2024-08-22,10:59:00,6,8,8,6,8,8,1023,304,59,2,0,0,504.70,23.95,60.78
2024-08-22,11:00:00,6,8,8,6,8,8,1032,309,64,2,0,0,481.24,23.95,60.79
2024-08-22,11:01:00,6,8,8,6,8,8,1032,309,64,2,0,0,489.05,23.97,60.89
2024-08-22,11:02:00,6,8,8,6,8,8,1032,309,64,2,0,0,508.19,23.96,60.99
2024-08-22,11:03:00,6,9,9,6,9,9,1032,309,71,4,0,0,456.74,23.79,60.12
2024-08-22,11:04:00,6,9,9,6,9,9,1032,309,71,4,0,0,440.95,23.83,60.62
2024-08-22,11:05:00,6,9,9,6,9,9,1032,309,71,4,0,0,442.08,23.88,60.36
2024-08-22,11:06:00,6,10,10,6,10,10,1116,335,84,4,0,0,443.26,23.90,60.25
2024-08-22,11:07:00,6,10,10,6,10,10,1116,335,84,4,0,0,407.34,23.58,60.95
2024-08-22,11:08:00,6,10,10,6,10,10,1116,335,84,4,0,0,416.42,23.73,60.66
2024-08-22,11:09:00,6,9,10,6,9,10,1116,335,75,2,0,0,524.93,23.88,61.02
2024-08-22,11:10:00,6,9,10,6,9,10,1116,335,75,2,0,0,443.24,23.97,60.55
2024-08-22,11:11:01,6,9,10,6,9,10,1116,335,75,2,0,0,424.55,24.03,59.95
2024-08-22,11:12:01,6,10,10,6,10,10,1122,335,75,6,0,0,427.26,24.13,59.68
2024-08-22,11:13:01,6,10,10,6,10,10,1122,335,75,6,0,0,425.96,24.14,59.43
2024-08-22,11:14:01,6,10,10,6,10,10,1122,335,75,6,0,0,428.56,24.17,59.38
2024-08-22,11:15:01,6,10,11,6,10,11,1170,349,75,6,0,0,416.45,24.09,59.17
2024-08-22,11:16:01,6,10,11,6,10,11,1170,349,75,6,0,0,410.46,24.17,59.35
2024-08-22,11:17:01,6,10,11,6,10,11,1170,349,75,6,0,0,415.47,24.13,59.60
2024-08-22,11:18:01,5,9,10,5,9,10,1017,293,72,10,0,0,466.16,24.14,59.57
2024-08-22,11:19:01,5,9,10,5,9,10,1017,293,72,10,0,0,419.45,24.10,59.77
2024-08-22,11:20:01,5,9,10,5,9,10,1017,293,72,10,0,0,424.92,24.10,59.76
2024-08-22,11:21:01,5,9,10,5,9,10,996,289,61,10,0,0,398.58,23.93,59.84
2024-08-22,11:22:01,5,9,10,5,9,10,996,289,61,10,0,0,396.77,24.09,59.75
2024-08-22,11:23:01,5,9,10,5,9,10,996,289,61,10,0,0,399.71,24.13,59.62
2024-08-22,11:24:01,5,9,10,5,9,10,981,285,61,10,0,0,389.73,23.49,60.39
2024-08-22,11:25:01,5,9,10,5,9,10,981,285,61,10,0,0,394.11,23.81,60.24
2024-08-22,11:26:01,5,9,10,5,9,10,981,285,61,10,0,0,396.05,23.81,60.18
2024-08-22,11:27:01,5,9,11,5,9,11,1002,292,61,12,2,2,426.36,23.99,59.96
2024-08-22,11:28:01,5,9,11,5,9,11,1002,292,61,12,2,2,405.81,24.04,59.64
2024-08-22,11:29:01,5,9,11,5,9,11,1002,292,61,12,2,2,404.83,24.04,59.64
2024-08-22,11:30:01,5,9,12,5,9,12,1014,294,54,14,4,2,433.70,24.13,59.72
2024-08-22,11:31:01,5,9,12,5,9,12,1014,294,54,14,4,2,395.79,24.13,59.68
2024-08-22,11:32:01,5,9,12,5,9,12,1014,294,54,14,4,2,388.20,24.11,59.43
2024-08-22,11:33:01,5,9,12,5,9,12,1035,301,58,12,4,2,388.74,24.17,59.72
2024-08-22,11:34:01,5,9,12,5,9,12,1035,301,58,12,4,2,402.67,23.82,59.93
2024-08-22,11:35:01,5,9,12,5,9,12,1035,301,58,12,4,2,412.02,24.07,59.79
2024-08-22,11:36:01,5,9,11,5,9,11,1002,291,51,12,4,2,394.32,23.68,60.55
2024-08-22,11:37:01,5,9,11,5,9,11,1002,291,51,12,4,2,397.85,23.63,60.69
2024-08-22,11:38:01,5,9,11,5,9,11,1002,291,51,12,4,2,457.92,23.88,60.49
