Date,Time,PM1.0 ug/m3 (ultrafine particles),"PM2.5 ug/m3 (combustion particles, organic compounds, metals)","PM10 ug/m3  (dust, pollen, mould spores)",PM1.0 ug/m3 (atmos env),PM2.5 ug/m3 (atmos env),PM10 ug/m3 (atmos env),>0.3um in 0.1L air,>0.5um in 0.1L air,>1.0um in 0.1L air,>2.5um in 0.1L air,>5.0um in 0.1L air,>10um in 0.1L air,CO2 in ppm,Temperature in C,Relative Humidity
2024-08-16,11:50:00,4,6,6,4,6,6,621,202,57,2,0,0,1618.70,26.38,66.95
2024-08-16,11:51:00,4,6,6,4,6,6,606,198,57,2,0,0,1713.72,26.56,66.37
2024-08-16,11:52:00,4,6,6,4,6,6,633,207,66,2,0,0,1665.20,26.66,65.91
2024-08-16,11:53:00,3,6,6,3,6,6,597,195,62,4,0,0,1667.16,26.60,65.85
2024-08-16,11:54:00,3,6,6,3,6,6,576,188,55,4,0,0,1706.98,26.66,66.38
2024-08-16,11:55:00,3,6,6,3,6,6,540,176,60,4,0,0,1669.06,26.60,65.69
2024-08-16,11:56:00,3,6,6,3,6,6,540,176,60,4,0,0,1638.56,26.62,64.79
2024-08-16,11:57:00,3,6,6,3,6,6,540,176,60,4,0,0,1323.70,26.59,61.67
2024-08-16,11:58:00,4,7,9,4,7,9,714,232,67,6,2,2,1117.85,26.50,60.52
2024-08-16,11:59:00,4,8,11,4,8,11,768,248,76,10,4,4,914.71,26.52,55.96
2024-08-16,12:00:00,4,9,12,4,9,12,810,260,83,14,4,4,960.96,26.52,55.82
2024-08-16,12:01:01,4,10,13,4,10,13,783,251,83,16,4,4,868.94,26.50,55.24
2024-08-16,12:02:01,4,10,13,4,10,13,831,263,83,18,4,4,850.43,26.52,56.55
2024-08-16,12:03:01,5,11,14,5,11,14,867,277,85,20,4,4,876.63,26.43,56.18
2024-08-16,12:04:01,5,12,15,5,12,15,873,275,80,24,4,4,771.22,26.25,55.57
2024-08-16,12:05:01,4,12,15,4,12,15,861,266,82,24,4,4,736.48,26.26,55.53
2024-08-16,12:06:01,5,12,15,5,12,15,903,273,87,26,4,4,694.48,26.22,54.88
2024-08-16,12:07:01,4,12,15,4,12,15,924,275,85,30,4,4,663.05,26.13,54.89
2024-08-16,12:08:01,3,11,12,3,11,12,819,233,80,30,2,2,648.15,26.15,54.31
2024-08-16,12:09:01,3,12,12,3,12,12,855,245,82,30,0,0,618.17,26.22,54.20
2024-08-16,12:10:01,3,11,11,3,11,11,834,240,72,28,0,0,596.09,26.08,53.16
2024-08-16,12:11:01,3,11,11,3,11,11,834,240,72,28,0,0,589.86,25.87,53.88
2024-08-16,12:12:01,3,11,11,3,11,11,834,240,72,28,0,0,573.75,25.89,53.39
2024-08-16,12:13:01,3,11,11,3,11,11,870,252,68,26,0,0,560.70,25.87,52.79
2024-08-16,12:14:01,4,12,12,4,12,12,870,252,68,26,0,0,561.46,25.92,53.20
2024-08-16,12:15:01,4,12,12,4,12,12,870,252,68,26,0,0,539.67,25.77,53.00
2024-08-16,12:16:01,5,11,11,5,11,11,864,252,70,24,0,0,518.93,25.81,52.84
2024-08-16,12:17:01,4,10,10,4,10,10,864,252,70,24,0,0,515.42,25.83,52.91
2024-08-16,12:18:01,4,10,10,4,10,10,864,252,70,24,0,0,505.54,25.75,52.83
2024-08-16,12:19:01,3,10,10,3,10,10,828,242,68,22,0,0,485.33,25.81,52.23
2024-08-16,12:20:01,3,10,10,3,10,10,828,242,68,22,0,0,477.69,25.75,49.23
2024-08-16,12:21:01,3,10,10,3,10,10,828,242,68,22,0,0,464.44,25.78,51.34
2024-08-16,12:22:01,3,9,9,3,9,9,795,235,68,18,0,0,463.40,25.74,51.06
2024-08-16,12:23:01,3,9,9,3,9,9,795,235,68,18,0,0,479.56,25.75,51.54
2024-08-16,12:24:01,4,10,10,4,10,10,795,235,68,18,0,0,486.61,25.68,51.21
2024-08-16,12:25:01,4,10,10,4,10,10,816,244,73,16,0,0,456.41,25.65,51.31
2024-08-16,12:26:01,4,10,10,4,10,10,816,244,73,16,0,0,444.94,25.85,50.36
2024-08-16,12:27:01,4,10,10,4,10,10,816,244,73,16,0,0,451.42,25.70,51.10
2024-08-16,12:28:01,4,9,9,4,9,9,774,237,66,14,0,0,465.35,25.64,51.23
2024-08-16,12:29:01,4,9,9,4,9,9,774,237,66,14,0,0,452.51,25.65,50.83
2024-08-16,12:30:01,4,9,9,4,9,9,774,237,66,14,0,0,550.68,25.37,50.22
2024-08-16,12:31:01,4,8,10,4,8,10,774,242,63,12,2,2,412.40,25.56,50.85
2024-08-16,12:32:01,4,8,10,4,8,10,774,242,63,12,2,2,479.74,25.80,50.65
2024-08-16,12:33:01,4,8,10,4,8,10,774,242,63,12,2,2,450.25,25.85,50.31
2024-08-16,12:34:01,4,7,9,4,7,9,747,237,56,8,2,2,459.52,25.80,50.26
2024-08-16,12:35:01,4,7,9,4,7,9,747,237,56,8,2,2,454.02,25.85,49.79
2024-08-16,12:36:01,4,7,9,4,7,9,747,237,56,8,2,2,453.30,25.78,50.03
2024-08-16,12:37:01,4,6,8,4,6,8,684,218,49,4,2,2,464.03,25.77,50.40
2024-08-16,12:38:01,4,6,8,4,6,8,684,218,49,4,2,2,464.00,25.91,50.22
2024-08-16,12:39:01,4,6,8,4,6,8,684,218,49,4,2,2,469.73,25.99,50.46
2024-08-16,12:40:01,3,5,7,3,5,7,657,204,47,2,2,2,477.00,26.16,50.77
2024-08-16,12:41:01,3,5,7,3,5,7,657,204,47,2,2,2,484.60,26.23,50.57
2024-08-16,12:42:01,3,5,7,3,5,7,657,204,47,2,2,2,481.83,26.22,50.59
2024-08-16,12:43:01,3,5,7,3,5,7,648,199,51,2,2,2,487.39,26.26,50.73
2024-08-16,12:44:01,3,5,7,3,5,7,648,199,51,2,2,2,557.20,26.22,50.69
2024-08-16,12:45:01,2,4,6,2,4,6,648,199,51,2,2,2,517.21,26.35,50.65
2024-08-16,12:46:01,2,4,6,2,4,6,654,201,49,2,2,2,518.58,26.32,50.82
2024-08-16,12:47:01,2,4,6,2,4,6,654,201,49,2,2,2,526.30,26.42,50.83
2024-08-16,12:48:01,2,4,6,2,4,6,654,201,49,2,2,2,521.38,26.39,50.85
2024-08-16,12:49:01,2,4,6,2,4,6,663,199,45,2,2,2,524.80,26.53,50.68
2024-08-16,12:50:01,2,4,6,2,4,6,663,199,45,2,2,2,529.45,26.73,50.15
2024-08-16,12:51:01,2,4,6,2,4,6,663,199,45,2,2,2,520.84,26.64,49.24
2024-08-16,12:52:01,4,5,7,4,5,7,684,203,45,4,2,2,516.97,26.74,48.52
2024-08-16,12:53:01,4,5,7,4,5,7,684,203,45,4,2,2,482.60,26.63,48.50
2024-08-16,12:54:01,4,5,7,4,5,7,684,203,45,4,2,2,503.26,26.62,48.26
2024-08-16,12:55:01,3,4,6,3,4,6,675,199,42,4,2,2,489.32,26.57,47.98
2024-08-16,12:56:01,3,4,6,3,4,6,675,199,42,4,2,2,487.61,26.70,48.34
2024-08-16,12:57:02,3,4,6,3,4,6,675,199,42,4,2,2,489.42,26.84,47.41
2024-08-16,12:58:02,3,5,6,3,5,6,681,201,44,6,2,2,482.47,26.81,48.18
2024-08-16,12:59:02,3,5,6,3,5,6,681,201,44,6,2,2,486.52,26.81,47.98
2024-08-16,13:00:02,3,5,6,3,5,6,681,201,44,6,2,2,486.15,26.74,48.27
2024-08-16,13:01:02,2,5,5,2,5,5,675,196,42,4,0,0,480.23,26.83,47.93
2024-08-16,13:02:02,3,6,6,3,6,6,675,196,42,4,0,0,467.78,26.94,47.66
2024-08-16,13:03:02,3,6,6,3,6,6,675,196,42,4,0,0,467.05,26.93,47.73
2024-08-16,13:04:02,3,5,5,3,5,5,633,184,40,4,0,0,468.57,26.98,47.52
2024-08-16,13:05:02,3,5,5,3,5,5,633,184,40,4,0,0,462.85,26.93,45.20
2024-08-16,13:06:02,3,5,5,3,5,5,633,184,40,4,0,0,451.19,27.05,47.48
2024-08-16,13:07:02,3,5,5,3,5,5,618,179,38,4,0,0,444.97,26.93,44.55
2024-08-16,13:08:02,3,5,5,3,5,5,618,179,38,4,0,0,444.51,27.05,46.97
2024-08-16,13:09:02,2,4,4,2,4,4,618,179,38,4,0,0,442.44,27.05,46.85
2024-08-16,13:10:02,2,4,4,2,4,4,618,184,38,4,0,0,428.74,26.87,46.19
2024-08-16,13:11:02,2,4,4,2,4,4,618,184,38,4,0,0,424.18,26.91,46.68
2024-08-16,13:12:02,2,4,4,2,4,4,618,184,38,4,0,0,426.13,26.80,46.19
2024-08-16,13:13:02,2,4,4,2,4,4,633,191,43,4,0,0,417.86,26.84,46.46
2024-08-16,13:14:02,2,4,4,2,4,4,633,191,43,4,0,0,415.49,26.77,46.31
2024-08-16,13:15:02,2,4,4,2,4,4,633,191,43,4,0,0,414.94,26.89,46.09
2024-08-16,13:16:02,2,5,5,2,5,5,606,184,48,4,0,0,417.80,26.62,46.32
2024-08-16,13:17:02,2,5,5,2,5,5,606,184,48,4,0,0,414.75,26.74,45.66
2024-08-16,13:18:02,2,5,5,2,5,5,606,184,48,4,0,0,414.34,26.74,46.21
2024-08-16,13:19:02,3,6,6,3,6,6,618,191,59,4,0,0,410.95,26.90,46.26
2024-08-16,13:20:02,3,6,6,3,6,6,618,191,59,4,0,0,423.38,26.60,46.28
2024-08-16,13:21:02,3,6,6,3,6,6,618,191,59,4,0,0,415.67,26.74,46.53
2024-08-16,13:22:02,3,5,7,3,5,7,639,191,59,4,2,2,407.91,26.53,46.49
2024-08-16,13:23:02,3,5,7,3,5,7,639,191,59,4,2,2,412.89,26.63,46.64
2024-08-16,13:24:02,3,5,7,3,5,7,639,191,59,4,2,2,415.91,26.63,46.44
2024-08-16,13:25:02,3,6,7,3,6,7,639,188,55,6,2,2,450.93,26.53,46.49
2024-08-16,13:26:02,3,6,7,3,6,7,639,188,55,6,2,2,410.29,26.70,46.36
2024-08-16,13:27:02,3,6,7,3,6,7,639,188,55,6,2,2,418.44,26.63,46.19
2024-08-16,13:28:02,3,5,7,3,5,7,654,193,60,4,2,2,412.69,26.77,45.99
2024-08-16,13:29:02,3,5,7,3,5,7,654,193,60,4,2,2,412.68,26.76,45.71
2024-08-16,13:30:02,3,5,7,3,5,7,654,193,60,4,2,2,417.28,26.71,46.07
2024-08-16,13:31:02,3,5,7,3,5,7,654,189,56,4,2,2,413.36,26.77,45.75
2024-08-16,13:32:02,3,5,7,3,5,7,654,189,56,4,2,2,407.09,26.64,45.83
2024-08-16,13:33:02,3,5,7,3,5,7,654,189,56,4,2,2,415.18,26.66,46.34
2024-08-16,13:34:02,3,6,7,3,6,7,702,208,60,4,2,2,418.40,26.67,46.35
2024-08-16,13:35:02,3,6,7,3,6,7,702,208,60,4,2,2,418.30,26.76,46.26
2024-08-16,13:36:02,3,6,7,3,6,7,702,208,60,4,2,2,426.18,26.74,46.36
2024-08-16,13:37:02,4,6,8,4,6,8,738,218,62,6,2,2,426.27,26.67,46.54
2024-08-16,13:38:02,4,6,8,4,6,8,738,218,62,6,2,2,423.03,26.53,46.37
2024-08-16,13:39:02,4,6,8,4,6,8,738,218,62,6,2,2,415.91,26.81,46.22
2024-08-16,13:40:02,4,7,8,4,7,8,765,222,64,6,2,2,416.83,26.70,46.19
2024-08-16,13:41:02,4,7,8,4,7,8,765,222,64,6,2,2,405.46,26.80,45.72
2024-08-16,13:42:02,4,7,8,4,7,8,765,222,64,6,2,2,415.62,26.63,46.03
2024-08-16,13:43:02,4,7,9,4,7,9,765,222,64,10,2,2,412.76,26.59,46.13
2024-08-16,13:44:02,4,7,9,4,7,9,765,222,64,10,2,2,404.66,26.79,45.95
2024-08-16,13:45:02,4,7,9,4,7,9,765,222,64,10,2,2,408.61,26.84,45.77
2024-08-16,13:46:02,4,7,9,4,7,9,765,222,64,10,2,2,407.59,26.84,45.79
2024-08-16,13:47:02,4,7,9,4,7,9,765,222,64,10,2,2,441.94,26.63,46.13
2024-08-16,13:48:02,4,7,9,4,7,9,765,222,64,10,2,2,409.52,26.60,46.16
2024-08-16,13:49:02,4,7,11,4,7,11,765,224,71,14,4,4,411.43,26.81,45.92
2024-08-16,13:50:02,4,7,11,4,7,11,765,224,71,14,4,4,398.96,26.66,46.08
2024-08-16,13:51:02,4,7,11,4,7,11,765,224,71,14,4,4,415.33,26.63,46.44
2024-08-16,13:52:02,4,7,10,4,7,10,735,222,74,12,2,2,404.55,26.63,46.49
2024-08-16,13:53:02,4,7,10,4,7,10,735,222,74,12,2,2,415.93,26.62,46.38
2024-08-16,13:54:03,4,7,10,4,7,10,735,222,74,12,2,2,412.48,26.50,46.50
2024-08-16,13:55:03,5,8,10,5,8,10,777,239,85,10,2,2,409.70,26.70,46.53
2024-08-16,13:56:03,5,8,10,5,8,10,777,239,85,10,2,2,411.13,26.76,46.49
2024-08-16,13:57:03,4,7,9,4,7,9,777,239,85,10,2,2,414.40,26.70,46.65
2024-08-16,13:58:03,4,7,9,4,7,9,798,243,82,12,2,2,432.53,26.68,46.42
2024-08-16,13:59:03,4,7,9,4,7,9,798,243,82,12,2,2,414.39,26.83,46.35
2024-08-16,14:00:03,4,7,9,4,7,9,798,243,82,12,2,2,414.69,26.90,46.17
2024-08-16,14:01:03,5,8,11,5,8,11,798,247,86,12,2,2,411.95,26.81,46.37
2024-08-16,14:02:03,5,8,11,5,8,11,798,247,86,12,2,2,416.42,26.91,46.40
2024-08-16,14:03:03,5,8,11,5,8,11,798,247,86,12,2,2,425.55,26.98,46.19
2024-08-16,14:04:03,4,8,10,4,8,10,750,231,84,12,2,2,454.13,27.01,46.32
2024-08-16,14:05:03,4,8,10,4,8,10,750,231,84,12,2,2,436.82,27.11,46.15
