Date,Time,NO2 ppb,NO2 µg/m³
16:08:24,11:57:05,-1.6282005,-3.1139336
16:08:24,11:58:10,-2.0944455,-4.0056272
16:08:24,11:59:16,-2.561878,-4.8995914
16:08:24,12:00:21,-2.5044734,-4.7898054
16:08:24,12:01:27,-2.531307,-4.8411245
16:08:24,12:02:32,-2.5095301,-4.7994761
16:08:24,12:03:38,-2.3398893,-4.4750385
16:08:24,12:04:43,-2.3224459,-4.4416776
16:08:24,12:05:48,-2.4501584,-4.6859279
16:08:24,12:06:54,-2.4241705,-4.6362262
16:08:24,12:07:59,-2.3459446,-4.486619
16:08:24,12:09:05,-2.6586778,-5.0847216
16:08:24,12:10:10,-3.0956488,-5.9204283
16:08:24,12:11:16,-3.1987715,-6.1176505
16:08:24,12:12:21,-3.1062171,-5.9406404
16:08:24,12:13:26,-3.2845471,-6.2816963
16:08:24,12:14:32,-4.4947386,-8.5961876
16:08:24,12:15:37,-3.9641706,-7.5814767
16:08:24,12:16:43,-3.9635305,-7.5802522
16:08:24,12:17:48,-3.9521912,-7.5585656
16:08:24,12:18:54,-3.9624968,-7.5782752
16:08:24,12:19:59,-4.1351523,-7.9084787
16:08:24,12:21:04,-3.7788348,-7.2270217
16:08:24,12:22:10,-3.2212362,-6.1606145
16:08:24,12:23:15,-3.6635745,-7.0065861
16:08:24,12:24:21,-4.0817261,-7.8063011
16:08:24,12:25:26,-4.0298824,-7.7071505
16:08:24,12:26:32,-4.2895794,-8.2038202
16:08:24,12:27:37,-4.8158145,-9.2102451
16:08:24,12:28:42,-3.5594351,-6.8074198
16:08:24,12:29:48,-4.5812459,-8.7616329
16:08:24,12:30:53,-3.405297,-6.5126305
16:08:24,12:31:59,-4.7756953,-9.1335173
16:08:24,12:33:04,-4.9286947,-9.4261284
16:08:24,12:34:10,-4.8229523,-9.223896
16:08:24,12:35:15,-4.7001376,-8.9890137
16:08:24,12:36:20,-5.9945979,-11.4646685
16:08:24,12:37:26,-6.7137618,-12.8400696
16:08:24,12:38:31,-6.0067353,-11.4878821
16:08:24,12:39:37,-5.5544238,-10.6228364
16:08:24,12:40:42,-5.5034213,-10.5252934
16:08:24,12:41:48,-4.9375238,-9.4430141
16:08:24,12:42:53,-4.8388352,-9.2542725
16:08:24,12:43:58,-4.8711066,-9.3159914
16:08:24,12:45:04,-4.8756766,-9.3247318
16:08:24,12:46:09,-4.7415581,-9.0682297
16:08:24,12:47:15,-4.8393397,-9.2552376
16:08:24,12:48:20,-4.7714715,-9.1254396
16:08:24,12:49:26,-4.8651209,-9.3045435
16:08:24,12:50:31,-4.9767313,-9.5179987
16:08:24,12:51:36,-5.8781815,-11.2420225
16:08:24,12:52:42,-5.2313237,-10.0049067
16:08:24,12:53:47,-2.5118392,-4.8038926
16:08:24,12:54:53,-2.6666744,-5.1000147
16:08:24,12:55:58,-2.7445409,-5.2489347
16:08:24,12:57:04,-2.7496631,-5.2587309
16:08:24,12:58:09,-2.7708747,-5.2992978
16:08:24,12:59:15,-2.7833321,-5.3231225
16:08:24,13:00:20,-2.8063664,-5.3671761
16:08:24,13:01:25,-2.8043289,-5.3632793
16:08:24,13:02:31,-2.8752112,-5.4988418
16:08:24,13:03:36,-2.8432732,-5.4377599
16:08:24,13:04:42,-2.8411701,-5.4337378
16:08:24,13:05:47,-2.9503393,-5.6425242
16:08:24,13:06:53,-2.972226,-5.684382
16:08:24,13:07:58,-3.0098951,-5.7564244
16:08:24,13:09:03,-3.0535979,-5.8400059
16:08:24,13:10:09,-3.0840023,-5.8981543
16:08:24,13:11:14,-3.071269,-5.8738022
16:08:24,13:12:20,-3.1449952,-6.0148034
16:08:24,13:13:25,-3.2166004,-6.1517482
16:08:24,13:14:31,-3.3208449,-6.3511157
16:08:24,13:15:36,-3.3934448,-6.4899631
16:08:24,13:16:41,-3.4051876,-6.5124216
16:08:24,13:17:47,-3.3623304,-6.4304571
16:08:24,13:18:52,-3.3399138,-6.3875852
16:08:24,13:19:58,-3.4433606,-6.5854273
16:08:24,13:21:03,-3.5778911,-6.8427167
16:08:24,13:22:09,-5.0350647,-9.6295614
16:08:24,13:23:14,-5.382772,-10.2945518
16:08:24,13:24:19,-5.5451918,-10.6051803
16:08:24,13:25:25,-5.8629375,-11.2128675
16:08:24,13:26:30,-6.192347,-11.8428648
16:08:24,13:27:36,-5.770668,-11.0364032
16:08:24,13:28:41,-5.563643,-10.6404674
16:08:24,13:29:46,-5.8865895,-11.2581027
16:08:24,13:30:52,-5.8956246,-11.275382
16:08:24,13:31:57,-5.7779417,-11.0503137
16:08:24,13:33:03,-5.9743237,-11.4258945
16:08:24,13:34:08,-5.8515844,-11.1911559
16:08:24,13:35:14,-4.9048409,-9.3805084
16:08:24,13:36:19,-4.7917986,-9.1643152
16:08:24,13:37:24,-4.7850113,-9.1513338
16:08:24,13:38:30,-4.8163095,-9.2111921
16:08:24,13:39:35,-4.8364387,-9.2496891
16:08:24,13:40:41,-4.8918581,-9.3556786
16:08:24,13:41:46,-5.0196013,-9.599988
16:08:24,13:42:52,-5.0110264,-9.5835876
16:08:24,13:43:57,-5.1544952,-9.8579721
16:08:24,13:45:02,-2.1375084,-4.087985
16:08:24,13:46:08,-4.8256512,-9.2290583
16:08:24,13:47:13,-4.7465491,-9.077775
16:08:24,13:48:19,-4.6011124,-8.7996273
16:08:24,13:49:24,-4.6067648,-8.8104382
16:08:24,13:50:29,-4.3723059,-8.3620348
16:08:24,13:51:35,-4.3760743,-8.3692427
16:08:24,13:52:40,2.5097101,4.7998204
16:08:24,13:53:46,-2.6608949,-5.0889616
16:08:24,13:54:51,-2.6257889,-5.0218215
16:08:24,13:55:57,-2.6570609,-5.0816288
16:08:24,13:57:02,-2.716336,-5.1949925
16:08:24,13:58:07,-2.7007463,-5.1651773
16:08:24,13:59:13,-2.7412853,-5.2427082
16:08:24,14:00:18,-2.7615025,-5.2813735
16:08:24,14:01:24,-2.7506709,-5.2606583
16:08:24,14:02:29,-2.7626548,-5.2835774
16:08:24,14:03:35,-2.7651348,-5.2883205
16:08:24,14:04:40,-2.740479,-5.2411661
16:08:24,14:05:45,-2.7561259,-5.271091
16:08:24,14:06:51,-3.2027588,-6.1252761
16:08:24,14:07:56,-3.1764643,-6.0749879
16:08:24,14:09:02,-3.0866883,-5.9032912
16:08:24,14:10:07,-3.1468616,-6.018373
16:08:24,14:11:13,-3.1332479,-5.9923368
16:08:24,14:12:18,-3.1064234,-5.9410348
16:08:24,14:13:23,-3.0924544,-5.914319
16:08:24,14:14:29,-2.8637357,-5.4768944
16:08:24,14:15:34,-2.9219286,-5.5881886
16:08:24,14:16:40,-3.1615973,-6.046555
16:08:24,14:17:45,-3.1623728,-6.048038
16:08:24,14:18:51,-3.0721717,-5.8755283
16:08:24,14:19:56,-3.0824907,-5.8952637
16:08:24,14:21:01,-3.0962226,-5.921526
16:08:24,14:22:07,-3.0503204,-5.8337379
16:08:24,14:23:12,-3.0630229,-5.8580313
16:08:24,14:24:18,-3.0605559,-5.8533134
16:08:24,14:25:23,-2.909156,-5.5637612
16:08:24,14:26:29,-2.9012033,-5.5485516
16:08:24,14:27:34,-2.5342779,-4.8468065
16:08:24,14:28:39,-2.8920369,-5.5310206
16:08:24,14:29:45,-2.9740047,-5.6877842
16:08:24,14:30:50,-3.266017,-6.2462573
16:08:24,14:31:56,-3.0275137,-5.7901201
16:08:24,14:33:01,-3.1192179,-5.9655042
16:08:24,14:34:07,-3.1317098,-5.9893951
16:08:24,14:35:12,-3.1115806,-5.9508982
16:08:24,14:36:18,-3.1241121,-5.9748645
16:08:24,14:37:23,-3.1710441,-6.0646219
16:08:24,14:38:28,-3.1524308,-6.0290241
16:08:24,14:39:34,-3.1167552,-5.9607944
16:08:24,14:40:39,-3.1357455,-5.9971132
16:08:24,14:41:45,-3.1197522,-5.966526
16:08:24,14:42:50,-3.0405581,-5.8150673
16:08:24,14:43:56,-3.0611212,-5.8543944
16:08:24,14:45:01,-3.0900795,-5.9097772
16:08:24,14:46:06,-3.0759356,-5.8827271
16:08:24,14:47:12,-3.0931072,-5.9155679
16:08:24,14:48:17,-3.0278203,-5.7907066
16:08:24,14:49:23,-2.9539981,-5.6495214
16:08:24,14:50:28,-3.0652881,-5.8623633
16:08:24,14:51:34,-3.0393093,-5.8126788
16:08:24,14:52:39,-3.0187767,-5.7734103
16:08:24,14:53:44,-3.0365093,-5.8073239
16:08:24,14:54:50,-3.0985539,-5.9259844
16:08:24,14:55:55,-3.1574478,-6.038619
16:08:24,14:57:01,-3.2739213,-6.2613745
16:08:24,14:58:06,-3.2944496,-6.3006349
16:08:24,14:59:12,-3.3161957,-6.3422246
16:08:24,15:00:17,-3.3095531,-6.3295207
16:08:24,15:01:22,-3.3229349,-6.355113
16:08:24,15:02:28,-3.3065209,-6.3237214
16:08:24,15:03:33,-3.1910901,-6.1029601
16:08:24,15:04:39,-3.1840839,-6.0895605
16:08:24,15:05:44,-3.144259,-6.0133953
