Date,Time,NO2 ppb,NO2 µg/m³
21:08:24,10:41:06,4.5668263,8.7340555
21:08:24,10:42:11,5.6690226,10.8420062
21:08:24,10:43:16,6.3188901,12.0848775
21:08:24,10:46:05,0.5694117,1.0889997
21:08:24,10:47:11,-2.3701472,-4.5329065
21:08:24,10:48:16,-1.1898123,-2.275516
21:08:24,10:49:22,-1.4659009,-2.8035355
21:08:24,10:50:27,-1.6077752,-3.0748701
21:08:24,10:51:32,-4.3459959,-8.311717
21:08:24,10:52:38,-4.3013601,-8.2263517
21:08:24,10:53:43,-4.2394738,-8.1079941
21:08:24,10:54:49,-3.9250269,-7.5066142
21:08:24,10:55:54,-4.3102412,-8.2433367
21:08:24,10:56:59,-4.6442084,-8.8820486
21:08:24,10:58:05,-1.7580888,-3.362345
21:08:24,10:59:10,-2.6243055,-5.0189843
21:08:24,11:00:16,-2.8313925,-5.4150381
21:08:24,11:01:21,-2.5215335,-4.822433
21:08:24,11:02:27,-2.7206237,-5.2031932
21:08:24,11:03:32,-3.0968826,-5.9227881
21:08:24,11:04:37,-1.0842401,-2.0736091
21:08:24,11:05:43,-1.2418183,-2.3749776
21:08:24,11:06:48,-1.194229,-2.283963
21:08:24,11:07:54,-1.1231102,-2.1479483
21:08:24,11:08:59,-1.2005429,-2.2960384
21:08:24,11:10:05,-1.2998141,-2.4858944
21:08:24,11:11:10,-4.8813887,-9.3356562
21:08:24,11:12:15,-1.9946204,-3.8147116
21:08:24,11:13:21,-2.1826599,-4.1743369
21:08:24,11:14:26,-2.084059,-3.9857628
21:08:24,11:15:32,-2.0287142,-3.879916
21:08:24,11:16:37,-1.980739,-3.7881634
21:08:24,11:17:43,-1.9965918,-3.8184819
21:08:24,11:18:48,-2.0878537,-3.9930202
21:08:24,11:19:53,-2.0005922,-3.8261328
21:08:24,11:20:59,-1.8713377,-3.5789332
21:08:24,11:22:04,-1.7211688,-3.2917352
21:08:24,11:23:10,-1.1382443,-2.1768923
21:08:24,11:24:15,-1.46403,-2.7999575
21:08:24,11:25:21,-1.6238121,-3.1055408
21:08:24,11:26:26,-1.536687,-2.9389141
21:08:24,11:27:31,-1.7460307,-3.3392837
21:08:24,11:28:37,-1.3976828,-2.6730683
21:08:24,11:29:42,-1.5348472,-2.9353952
21:08:24,11:30:48,-1.6921224,-3.2361841
21:08:24,11:31:53,-1.7365789,-3.3212073
21:08:24,11:32:58,-1.431917,-2.7385411
21:08:24,11:34:04,-1.4291917,-2.7333291
21:08:24,11:35:09,-1.3088232,-2.5031245
21:08:24,11:36:15,-1.194711,-2.2848847
21:08:24,11:37:20,-1.1197494,-2.1415207
21:08:24,11:38:26,-0.9742647,-1.8632813
21:08:24,11:39:31,-1.0602857,-2.0277965
21:08:24,11:40:36,-0.9985827,-1.9097895
21:08:24,11:41:42,-0.5877616,-1.1240941
21:08:24,11:42:47,-1.4178431,-2.7116249
21:08:24,11:43:53,-1.4463899,-2.7662208
21:08:24,11:44:58,-1.3366463,-2.5563362
21:08:24,11:46:04,-1.323856,-2.5318747
21:08:24,11:47:09,-0.8679081,-1.6598743
21:08:24,11:48:14,-0.7528148,-1.4397583
21:08:24,11:49:20,-1.1813294,-2.2592924
21:08:24,11:50:25,-0.8867188,-1.6958497
21:08:24,11:51:31,-0.5361982,-1.0254792
21:08:24,11:52:36,-0.5898561,-1.1280997
21:08:24,11:53:42,-0.6093942,-1.1654664
21:08:24,11:54:47,-0.6554585,-1.2535645
21:08:24,11:55:52,-0.7648077,-1.4626947
21:08:24,11:56:58,-0.7863917,-1.5039741
21:08:24,11:58:03,-0.6601338,-1.262506
21:08:24,11:59:09,-0.5512055,-1.0541805
21:08:24,12:00:14,-0.6793783,-1.2993109
21:08:24,12:01:20,-0.6631879,-1.2683469
21:08:24,12:02:25,-0.5076296,-0.9708417
21:08:24,12:03:31,-0.5359355,-1.0249767
21:08:24,12:04:36,-0.5923097,-1.1327924
21:08:24,12:05:41,-0.4730365,-0.9046824
21:08:24,12:06:47,-0.4735799,-0.9057217
21:08:24,12:07:52,-0.3956912,-0.7567595
21:08:24,12:08:58,-0.3599325,-0.6883709
21:08:24,12:10:03,-0.3656591,-0.6993231
21:08:24,12:11:09,-0.4358888,-0.8336373
21:08:24,12:12:14,-0.4678441,-0.8947519
21:08:24,12:13:19,-0.4034381,-0.7715754
